                            time,                             ala,                           death,                            haem,                            ppix
              0.0041376580978057,                0.96742790065604,        0.0000008256240165655465,         0.000008256240165655465,           0.0040624305538127965
            0.004340892099132973,              0.9658549867100722,        0.0000009081864182221012,         0.000009081864182221012,            0.004258136610640545
            0.004554174692263654,              0.9642069862608424,        0.0000009990050600443113,         0.000009990050600443114,            0.004463137661734224
            0.004778009387888107,              0.9624804024425331,        0.0000010989055660487423,         0.000010989055660487425,           0.0046778617334568414
            0.005012925601462609,              0.9606715844282814,        0.0000012087961226536167,         0.000012087961226536167,            0.004902755189115652
            0.005259480054219541,              0.9587767215740586,        0.0000013296757349189782,         0.000013296757349189783,            0.005138283370158582
            0.005518258256807839,              0.9567918374405191,         0.000001462643308410876,         0.000014626433084108762,            0.005384931243542607
             0.00578987608111429,               0.954712783702921,        0.0000016089076392519635,         0.000016089076392519638,            0.005643204053103121
            0.006074981426253679,              0.9525352339612682,          0.00000176979840317716,           0.0000176979840317716,            0.005913627972406551
            0.006374255985193669,              0.9502546774651197,         0.000001946778243494876,          0.00001946778243494876,            0.006196750756181616
            0.006688417119002844,              0.9478664127700804,        0.0000021414560678443637,         0.000021414560678443637,            0.006493142386993685
            0.007018219846282302,               0.945365541345855,           0.0000023556016746288,            0.000023556016746288,           0.0068033957133472244
            0.007364458955967995,              0.9427469611589501,          0.00000259116184209168,           0.0000259116184209168,           0.0071281270748682546
            0.007727971252378559,              0.9400053602566703,         0.000002850278026300848,          0.00002850278026300848,            0.007467976909626925
            0.008109637942138483,              0.9371352103830243,         0.000003135305828930933,          0.00003135305828930933,            0.007823610338003741
            0.008510387173436591,              0.9341307606615572,        0.0000034488364118240262,         0.000034488364118240265,            0.008195717716775306
            0.008931196738993591,              0.9309860313850178,         0.000003793720053006429,         0.000037937200530064294,            0.008585015156289719
            0.009373096955119243,              0.9276948079571857,         0.000004173092058307072,          0.00004173092058307072,            0.008992244992710414
